2025-12-08 08:37:17 INFO: Starting scalper for BTCUSD M1 — 2025-12-08T08:37:17.893432
2025-12-08 08:38:36 INFO: PRICE NOW: 91529.09 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.89
2025-12-08 08:38:37 INFO: PRICE NOW: 91581.15 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.92
2025-12-08 08:38:38 INFO: PRICE NOW: 91567.23 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.65
2025-12-08 08:38:39 INFO: PRICE NOW: 91547.68 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.26
2025-12-08 08:38:40 INFO: PRICE NOW: 91543.65 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.18
2025-12-08 08:38:41 INFO: PRICE NOW: 91546.15 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.23
2025-12-08 08:38:42 INFO: PRICE NOW: 91535.15 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.01
2025-12-08 08:38:43 INFO: PRICE NOW: 91529.37 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.90
2025-12-08 08:38:44 INFO: PRICE NOW: 91524.48 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.80
2025-12-08 08:38:45 INFO: PRICE NOW: 91524.48 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.80
2025-12-08 08:38:46 INFO: PRICE NOW: 91524.48 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.80
2025-12-08 08:38:47 INFO: PRICE NOW: 91524.48 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.80
2025-12-08 08:38:48 INFO: PRICE NOW: 91524.91 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.81
2025-12-08 08:38:49 INFO: PRICE NOW: 91539.82 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.11
2025-12-08 08:38:50 INFO: PRICE NOW: 91548.19 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.27
2025-12-08 08:38:51 INFO: PRICE NOW: 91562.18 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.55
2025-12-08 08:38:52 INFO: PRICE NOW: 91564.52 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.59
2025-12-08 08:38:53 INFO: PRICE NOW: 91570.01 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.70
2025-12-08 08:38:54 INFO: PRICE NOW: 91570.01 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.70
2025-12-08 08:38:55 INFO: PRICE NOW: 91561.67 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.54
2025-12-08 08:38:56 INFO: PRICE NOW: 91561.67 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.54
2025-12-08 08:38:57 INFO: PRICE NOW: 91561.67 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.54
2025-12-08 08:38:58 INFO: PRICE NOW: 91564.50 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.59
2025-12-08 08:38:59 INFO: PRICE NOW: 91564.50 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90612.59
2025-12-08 08:39:00 INFO: PRICE NOW: 91590.01 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90613.10
