2025-12-13 06:44:05 INFO: Starting scalper for BTCUSDm M1 — 2025-12-13T06:44:05.215565
2025-12-13 06:45:52 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:53 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:54 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:55 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:56 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:57 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:58 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:59 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:00 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:01 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:02 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:03 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:04 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:05 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:06 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:07 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:08 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:09 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:10 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:11 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:12 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:13 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:14 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:15 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:16 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:17 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:18 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:19 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:21 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:22 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:23 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:24 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:25 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:26 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:27 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:28 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
